u_id,mode
3008,NA
3003,NA
4007,NA
4004,NA
3007,NA
4012,NA
4008,NA
2003,NA
2004,NA
4005,NA
4011,NA
2005,NA
3011,NA
3004,NA
4013,NA
3009,NA
2,NA
4010,NA
4009,NA
3001,NA
3006,NA
4006,NA
4001,NA
2006,NA
2002,NA
4003,NA
1,NA
3002,NA
4002,NA
3010,NA
2001,NA
