u_id,page_1_kapr,page_2_kapr,page_3_kapr,page_4_kapr,page_5_kapr,page_6_kapr,total_kapr_from_pages
2,0.8271332999696273,1.6779401154401166,4.484602482968496,2.045028659611993,3.723122473122473,3.2725846611045863,16.030411692217292
2001,2.569027917148128,2.0843992268624603,2.106844362176319,3.4772690568475486,1.0349009745939561,1.1583318684867923,12.430773406115204
2002,1.6686227089187613,0.5040914544761825,1.0810957379584827,1.1486322792441297,2.1515980385465676,2.876294200475888,9.430334419620012
2003,1.4117994460736396,2.4774974169466555,6.047130671189821,3.707455754815438,5.11500601008858,4.072133584274461,22.831022883388595
2004,1.2211288478806155,30.46748406349048,5.50686904453319,3.0626783643565005,3.6918171851585484,1.7320609470550536,45.68203845247439
2005,1.063925869033396,0,0,0,0,0,1.063925869033396
2006,1.2872805071080935,3.52357261896649,5.806362245908845,4.156590000338065,2.743758637721484,2.2637393198259446,19.781303329868923
3001,0,0,0,0.6689133986928099,0,0,0.6689133986928099
3002,2.0089518896201474e-4,0.21332541190319845,0.2668309196609579,4.3796319232008996e-4,4.607106000292238e-4,0.09843481777489599,0.5796907183203637
3003,0,0,0.9259259259259258,0.027190563725490557,0,0,0.9531164896514164
3004,0.32952698613945547,3.3198101018441517,1.3106838837685606,1.8801991206225077,1.7714264165398994,2.2697233638086285,10.881369872723203
3007,0.943754842139962,5.168452634801071,1.9962964516316717,2.9174542100567713,1.4320707719830512,1.0712447033103842,13.52927361392291
3008,0.878117983038256,2.544474580913149,2.776506110971688,2.199327855690729,2.2357436673048507,3.830856950204904,14.465027148123577
3009,1.105286495911497,0.5223691364995715,3.059484115779388,1.9759295005691628,1.1728938460567102,1.1454428990509813,8.98140599386731
3010,1.2519983097100031,0.42087542087542107,1.471734892787525,0.7991217320261437,0.7161844003949263,1.8208502242539266,6.480764980047946
3011,2.165565659533289,1.2089124093284305,3.6072590844477674,2.393470227238181,2.638762869404127,2.723992855103665,14.73796310505546
4001,0,1.0824681514019756,2.248197877766592,1.9901387961515358,0.14619883040935644,0,5.46700365572946
4002,0,0,1.2675678345810648,0.15432098765432123,1.1904761904761902,0.7557189542483651,3.3680839669599414
4003,1.3479873621002658,1.3086696680446683,1.2454949773790354,0.03714843826669734,0.7216224321487479,0,4.660922877939415
4004,2.9041767169830894,2.229891798128514,0,0,0,0.0098257201437244035,5.143894235255328
4005,0.22547293226868023,0.5642361111111109,1.4427421013930393,1.3216845878136207,0.3094003094003095,0.4001444071786633,4.263680449165424
4006,0.3212407499164338,0.4214932565412013,0.32066624141171185,0.6502287961855033,0.4728435649488285,0.0898144891012449,2.2762870981049237
4007,0.5344742063492058,0.45469576719576743,2.1197532417551272,0.6293226702317467,0,0.40601957793033305,4.14426546346218
4008,0.9864859237048149,0.8877806982536454,0.15451351221040976,0.6517556517556518,0.2568843193843193,0.19261808141710013,3.1300381867259413
4009,2.036473364598364,1.0962213168095518,1.6167494687762094,0,0,0,4.749444150184125
4010,0.45714354806547775,2.128203792371105,1.5142321600465207,0.7505412451621787,0.4112940993745937,0.5289075393832219,5.7903223844030975
4011,1.2368629093824137,1.09626634080001,2.6959530415627766,0.36760422434477746,0,0,5.396686516089978
4012,0.8271332999696273,0.7290505395234872,3.6542063173508974,0.5963071144637206,0.1128276108926265,2.010798352758414e-4,5.919725962035635
