page,q_type
1,14
1,21
1,3
1,28
1,36
1,7
2,13
2,29
2,30
2,32
2,8
2,2
3,23
3,16
3,25
3,33
3,10
3,35
4,20
4,6
4,15
4,19
4,12
4,11
5,5
5,17
5,22
5,18
5,31
5,4
6,24
6,26
6,9
6,34
6,1
6,27
