u_id,q_id,kapr_question,timestamp
2,112,1.302083333333333,1521575351
2,127,0.29239766081871343,1521574992
2,14,0.43898809523809623,1521575229
2,151,2.083333333333332,1521575408
2,221,0.9259259259259269,1521575242
2,230,0.5555555555555571,1521575488
2,254,0.7765830346475511,1521575495
2,265,0.5340501792114711,1521575528
2,276,2.6143280170731753e-4,1521575111
2,29,0.5344742063492065,1521575102
2,337,1.3820806100217853,1521575290
2,349,1.406395891690007,1521575512
2,35,0.44931294931295085,1521575427
2,354,1.6309610263858634,1521575304
2,41,1.1904761904761898,1521575401
2,68,1.2389520202020203,1521575210
2,86,0.5456349206349209,1521575297
2,93,0.7429453262786598,1521575364
2001,114,1.4373385012919897,1521575955
2001,131,1.4864481339577125,1521575630
2001,135,1.3454861111111143,1521575927
2001,14,0.37574404761904656,1521575819
2001,142,0.8357699805068224,1521575876
2001,155,0.36549707602339154,1521576003
2001,159,0.0801282051282044,1521576027
2001,207,0.019290123456789487,1521576018
2001,217,0.7407407407407396,1521575886
2001,259,0.5612148651197888,1521576084
2001,264,0.5971170033670035,1521576118
2001,271,0.54810557684121,1521575682
2001,29,0.5344742063492054,1521575667
2001,297,1.472222222222221,1521575769
2001,31,0.5699855699855707,1521576047
2001,357,0.08799003682044759,1521575842
2001,54,0.6944444444444446,1521575921
2001,72,0.2364329570211927,1521575803
2001,87,0.4423436041083093,1521575848
2002,112,0.15432098765432078,1521575799
2002,127,0.29239766081871343,1521575374
2002,138,0.5029616013071907,1521575774
2002,14,0.37574404761904745,1521575618
2002,151,0.7638888888888884,1521575836
2002,185,2.7826171118894294e-4,1521575754
2002,208,0.7397102985338284,1521575847
2002,221,0.011223344556678061,1521575646
2002,254,0.7765830346475502,1521575950
2002,265,0.5340501792114694,1521575995
2002,29,0.5344742063492065,1521575409
2002,294,3.311330075275176e-4,1521575577
2002,311,0.25015782828282784,1521575877
2002,349,0.9784469343292876,1521575980
2002,35,0.39784102284102296,1521575880
2002,354,0.5242374727668841,1521575697
2002,60,0.8417508417508414,1521575488
2002,68,0.12801627384960756,1521575604
2002,81,0.5872140522875808,1521575970
2002,86,0.5456349206349205,1521575686
2002,93,0.49107142857142927,1521575806
2003,100,0.5872140522875817,1521575272
2003,110,0.16188063063063218,1521575257
2003,120,1.0020908004778972,1521574968
2003,137,1.2884207737148916,1521575218
2003,141,1.5256734006733996,1521575107
2003,156,1.5510196431249028,1521575323
2003,162,3.072943221908986e-4,1521575352
2003,180,1.6196447230929998,1521575245
2003,190,2.455250392827679e-4,1521575199
2003,201,0.985663082437276,1521574869
2003,212,1.5580618212197201,1521575336
2003,217,1.018518518518519,1521575093
2003,23,0.5923892642642641,1521575070
2003,234,1.1904761904761934,1521575401
2003,247,2.759230113911215e-4,1521575117
2003,260,3.893562802268491e-4,1521575419
2003,264,0.5971170033670035,1521575449
2003,299,0.6696428571428572,1521575007
2003,307,0.0011721435283824633,1521575355
2003,31,1.1423761423761434,1521575361
2003,319,3.063132434548699e-4,1521575045
2003,326,1.0889292196007263,1521575126
2003,339,0.9415584415584455,1521575433
2003,355,1.6002415458937218,1521575148
2003,371,0.42613636363636365,1521574934
2003,40,0.8620689655172402,1521575314
2003,53,0.05005005005005003,1521575208
2003,68,0.2130681818181821,1521575051
2003,83,1.3425925925925917,1521575422
2003,88,0.8134920634920633,1521575134
2004,109,0.4243095087497366,1521575329
2004,123,0.30114041335923436,1521575055
2004,129,0.13723544973544927,1521574948
2004,138,1.3454861111111214,1521575309
2004,140,2.1953405017921206,1521575222
2004,151,0.8413154533844178,1521575376
2004,175,0.8064516129032242,1521575323
2004,188,-0.7575757575757507,1521575293
2004,204,0.8680555555555554,1521574969
2004,211,1.3758010209623137,1521575398
2004,218,0.8730158730158699,1521575210
2004,23,0.5116995381604497,1521575168
2004,240,1.6129032258064484,1521575357
2004,245,1.410847606499786,1521575245
2004,26,0.16595179738562105,1521574980
2004,260,0.021701388888892836,1521575370
2004,265,-0.8100181711292791,1521575406
2004,269,2.828706008151105e-4,1521575e3
2004,279,1.609488582716864,1521575072
2004,290,13.24927525958335,1521575098
2004,316,3.2901984514887666,1521575145
2004,32,1.4747007108118169,1521575467
2004,340,0.9769189479334344,1521575392
2004,359,0.6680420473523938,1521575266
2004,51,0.510481155642438,1521575303
2004,62,0.04960317460317465,1521575026
2004,69,11.505681818181817,1521575157
2004,77,-0.06944444444444287,1521575384
2004,86,0.35962301587301937,1521575260
2004,94,0.733525733525731,1521575344
2005,129,0.07826278659611992,1521575321
2005,194,0.985663082437276,1521575322
2006,113,0.23094315245477937,1521576401
2006,125,0.6971677559912861,1521576169
2006,131,0.09578544061302681,1521576063
2006,134,0.16595179738562216,1521576376
2006,139,0.5414746543778808,1521576274
2006,156,0.1077747788274106,1521576436
2006,164,0.1683501683501678,1521576451
2006,175,1.702508960573475,1521576390
2006,182,1.7676767676767664,1521576356
2006,215,0.7070707070707059,1521576445
2006,217,1.0185185185185182,1521576255
2006,22,0.5642361111111116,1521576239
2006,240,0.35842293906809886,1521576488
2006,245,2.1519543258673695,1521576290
2006,25,0.22522522522522542,1521576101
2006,265,0.5340501792114729,1521576528
2006,270,0.9166666666666666,1521576112
2006,290,0.8524397413286295,1521576181
2006,308,1.5307877536979682,1521576459
2006,314,1.0730286738351262,1521576192
2006,327,1.0889292196007236,1521576302
2006,346,0.8758758758758738,1521576512
2006,35,0.2297752297752318,1521576472
2006,350,0.7242063492063497,1521576326
2006,47,0.010078105316202013,1521576371
2006,62,0.04960317460317465,1521576134
2006,69,0.3367003367003365,1521576207
2006,79,0.495390325670499,1521576499
2006,87,0.28127917833800353,1521576311
2006,99,0.2794312169312203,1521576412
3001,100,0.5029616013071895,1521575007
3001,135,0.16595179738562038,1521575034
3002,112,1.9566354341576941e-4,1521575655
3002,14,2.572300850166298e-4,1521575412
3002,140,2.1385616889457726e-4,1521575498
3002,151,2.1499828001392274e-4,1521575707
3002,200,2.0089518896201474e-4,1521575175
3002,349,0.09823373793962026,1521575802
3002,41,2.457123200153011e-4,1521575698
3002,68,0.21306818181818182,1521575388
3002,81,2.0107983527573037e-4,1521575792
3002,86,0.2666170634920633,1521575543
3002,93,2.4229964890432054e-4,1521575678
