u_id,kapr
2,16.030411692217292
2001,12.430773406115204
2002,9.430334419620012
2003,22.831022883388595
2004,45.68203845247439
2005,1.063925869033396
2006,19.781303329868923
3001,0.6689133986928099
3002,0.5796907183203637
3003,0.9531164896514164
3004,10.881369872723203
3007,13.52927361392291
3008,14.465027148123577
3009,8.98140599386731
3010,6.480764980047946
3011,14.73796310505546
4001,5.46700365572946
4002,3.3680839669599414
4003,4.660922877939415
4004,5.143894235255328
4005,4.263680449165424
4006,2.2762870981049237
4007,4.1442654634621805
4008,3.1300381867259413
4009,4.749444150184125
4010,5.7903223844030975
4011,5.396686516089978
4012,5.919725962035635
