u_id,q_id,choice,confidence,user_answer,attention,q_answer,q_type,grade,sample,kapr_question,timestamp,total_kapr_from_questions
3003,260,3,1,0,FALSE,0,26,1,3,0,NA,252.83769031917825
3003,83,5,2,1,FALSE,0,9,0,3,0,NA,252.83769031917825
3003,339,5,2,1,FALSE,0,34,0,3,0,NA,252.83769031917825
3003,1,6,3,1,TRUE,1,1,1,3,0,NA,252.83769031917825
3003,264,5,2,1,FALSE,1,27,1,3,0,NA,252.83769031917825
4007,130,2,2,0,FALSE,0,14,1,7,0,NA,252.83769031917825
4007,197,6,3,1,FALSE,1,21,1,7,0,NA,252.83769031917825
4007,29,6,3,1,FALSE,1,3,1,7,0.5344742063492058,1521575061,252.83769031917825
4007,270,2,2,0,FALSE,0,28,1,7,0,NA,252.83769031917825
4007,372,6,3,1,FALSE,1,36,1,7,0,NA,252.83769031917825
4007,56,6,3,1,FALSE,1,7,1,7,0,NA,252.83769031917825
4007,120,1,3,0,FALSE,0,13,1,7,0,NA,252.83769031917825
4007,283,6,3,1,FALSE,1,29,1,7,0,NA,252.83769031917825
4007,299,4,1,1,FALSE,0,30,0,7,0.45469576719576743,1521575209,252.83769031917825
4007,314,2,2,0,FALSE,0,32,1,7,0,NA,252.83769031917825
4007,70,5,2,1,FALSE,0,8,0,7,0,NA,252.83769031917825
4007,22,5,2,1,FALSE,1,2,1,7,0,NA,252.83769031917825
4007,223,1,3,0,FALSE,1,23,0,7,0.04061078622482106,1521575329,252.83769031917825
4007,142,2,2,0,FALSE,0,16,1,7,0.9186159844054571,1521575342,252.83769031917825
4007,252,1,3,0,FALSE,0,25,1,7,0,NA,252.83769031917825
4007,328,5,2,1,FALSE,1,33,1,7,0,NA,252.83769031917825
4007,85,6,3,1,FALSE,1,10,1,7,0.6479603335587112,1521575422,252.83769031917825
4007,352,4,1,1,FALSE,1,35,1,7,0.5125661375661381,1521575403,252.83769031917825
4007,182,1,3,0,FALSE,0,20,1,7,0,NA,252.83769031917825
4007,45,6,3,1,FALSE,1,6,1,7,0,NA,252.83769031917825
4007,133,6,3,1,FALSE,1,15,1,7,0.46515918195235084,1521575496,252.83769031917825
4007,169,1,3,0,FALSE,0,19,1,7,0,NA,252.83769031917825
4007,114,1,3,0,FALSE,1,12,0,7,0.163921188630491,1521575528,252.83769031917825
4007,93,6,3,1,FALSE,1,11,1,7,2.4229964890487565e-4,1521575514,252.83769031917825
4007,38,6,3,1,FALSE,1,5,1,7,0,NA,252.83769031917825
4007,156,5,2,1,FALSE,1,17,1,7,0,NA,252.83769031917825
4007,216,1,3,0,FALSE,0,22,1,7,0,NA,252.83769031917825
4007,166,3,1,0,FALSE,0,18,1,7,0,NA,252.83769031917825
4007,311,2,2,0,FALSE,0,31,1,7,0,NA,252.83769031917825
4007,31,5,2,1,TRUE,0,4,0,7,0,NA,252.83769031917825
4007,229,6,3,1,FALSE,1,24,1,7,0,NA,252.83769031917825
4007,259,2,2,0,FALSE,0,26,1,7,0,NA,252.83769031917825
4007,78,3,1,0,FALSE,0,9,1,7,0,NA,252.83769031917825
4007,338,2,2,0,FALSE,0,34,1,7,0,NA,252.83769031917825
4007,1,6,3,1,TRUE,1,1,1,7,0,NA,252.83769031917825
4007,261,6,3,1,FALSE,1,27,1,7,0.40601957793033305,1521575706,252.83769031917825
4004,129,2,2,0,FALSE,0,14,1,4,0.7826278659611993,1521575734,252.83769031917825
4004,204,2,2,0,FALSE,1,21,0,4,0.8680555555555555,1521575735,252.83769031917825
4004,26,5,2,1,FALSE,1,3,1,4,0.4212622549019609,1521575735,252.83769031917825
4004,269,5,2,1,FALSE,0,28,0,4,0.3968253968253972,1521575736,252.83769031917825
4004,368,5,2,1,FALSE,1,36,1,4,0.38580246913580263,1521575737,252.83769031917825
4004,62,5,2,1,FALSE,1,7,1,4,0.04960317460317398,1521575739,252.83769031917825
4004,123,5,2,1,FALSE,0,13,0,4,0.6839225589225588,1521575795,252.83769031917825
4004,279,5,2,1,FALSE,1,29,1,4,0.4830917874396148,1521575796,252.83769031917825
4004,290,5,2,1,FALSE,0,30,0,4,0.8524397413286291,1521575796,252.83769031917825
4004,316,4,1,1,FALSE,0,32,0,4,0,NA,252.83769031917825
4004,69,5,2,1,FALSE,0,8,0,4,0.2104377104377111,1521575801,252.83769031917825
4004,23,5,2,1,FALSE,1,2,1,4,0,NA,252.83769031917825
4004,218,3,1,0,FALSE,1,23,0,4,0,NA,252.83769031917825
4004,140,2,2,0,FALSE,0,16,1,4,0,NA,252.83769031917825
4004,245,2,2,0,FALSE,0,25,1,4,0,NA,252.83769031917825
