u_id,timestamp,q_id,column,cell_mode,kapr_cumulative,kapr_cell
2,1521574992,127,fname,partial,0.29239766081871343,0.29239766081871343
2,1521575102,29,fname,partial,0.4945305973266495,0.20213293650793607
2,1521575105,29,fname,full,0.8268718671679199,0.33234126984127044
2,1521575111,276,sex,full,0.8271332999696273,2.6143280170731753e-4
2,1521575210,68,reg,partial,0.8485058799359568,0.021372579966329575
2,1521575212,68,reg,full,1.6820364986228256,0.8335306186868687
2,1521575216,68,fname,partial,1.8096143605756878,0.12757786195286225
2,1521575217,68,fname,full,2.0660853201716476,0.2564709595959598
2,1521575229,14,lname,full,2.4418293677906955,0.3757440476190479
2,1521575231,14,sex,full,2.505073415409744,0.06324404761904834
2,1521575242,221,reg,full,3.3468242571605855,0.8417508417508417
2,1521575244,221,dob,partial,3.4309993413356707,0.08417508417508524
2,1521575290,337,fname,full,4.813079951357456,1.3820806100217853
2,1521575297,86,fname,partial,4.986691062468567,0.17361111111111072
2,1521575298,86,fname,full,5.358714871992377,0.3720238095238102
2,1521575304,354,dob,partial,5.370602343030175,0.011887471037797859
2,1521575305,354,fname,full,6.159065876591748,0.7884635335615728
2,1521575310,354,dob,full,6.805095893536797,0.6460300169450495
2,1521575312,354,race,full,6.89738589595752,0.0922900024207225
2,1521575322,354,sex,full,6.98967589837824,0.09229000242072072
2,1521575351,112,lname,partial,7.143996886032561,0.15432098765432034
2,1521575353,112,lname,full,7.6358950341807095,0.4918981481481488
2,1521575355,112,dob,partial,7.7998610835634254,0.16396604938271597
2,1521575355,112,dob,full,8.291759231711573,0.4918981481481479
2,1521575364,93,lname,full,8.723857997143671,0.432098765432098
2,1521575366,93,race,full,8.956441771394113,0.23258377425044152
2,1521575367,93,sex,full,9.034704557990233,0.07826278659612029
2,1521575401,41,fname,full,10.225180748466423,1.1904761904761898
2,1521575408,151,lname,partial,10.433514081799757,0.20833333333333393
2,1521575410,151,lname,full,10.989069637355312,0.5555555555555554
2,1521575427,35,sex,full,10.989289527738276,2.1989038296332808e-4
2,1521575428,35,fname,partial,11.298469946755622,0.3091804190173466
2,1521575429,35,fname,full,11.438382586668263,0.1399126399126409
2,1521575444,151,reg,full,12.132827031112708,0.6944444444444446
2,1521575446,151,fname,full,12.757827031112706,0.6249999999999982
2,1521575488,230,dob,partial,12.896715920001595,0.13888888888888928
2,1521575490,230,dob,full,13.313382586668263,0.41666666666666785
2,1521575495,254,fname,partial,13.535263453710419,0.22188086704215593
2,1521575495,254,fname,full,14.089965621315814,0.5547021676053951
2,1521575512,349,dob,full,14.945863536037255,0.8558979147214405
2,1521575513,349,lname,partial,15.0684125556451,0.12254901960784537
2,1521575514,349,lname,full,15.496361513005821,0.42794895736072114
2,1521575528,265,fname,full,16.030411692217292,0.5340501792114711
2001,1521575630,131,reg,full,0.993330495246204,0.993330495246204
2001,1521575631,131,fname,partial,1.0891159358592308,0.09578544061302685
2001,1521575632,131,fname,full,1.3871150844330922,0.29799914857386134
2001,1521575638,131,sex,full,1.4864481339577125,0.0993330495246203
2001,1521575667,29,fname,partial,1.6885810704656488,0.2021329365079363
2001,1521575668,29,fname,full,2.020922340306918,0.3323412698412691
2001,1521575682,271,race,full,2.021314725012101,3.9238470518299096e-4
2001,1521575689,271,lname,full,2.569027917148128,0.547713192136027
2001,1521575769,297,dob,partial,3.069027917148127,0.4999999999999991
2001,1521575774,297,lname,full,3.5412501393703493,0.4722222222222223
2001,1521575776,297,dob,full,4.041250139370349,0.49999999999999956
2001,1521575803,72,fname,partial,4.061674975971656,0.02042483660130756
2001,1521575804,72,fname,full,4.2776830963915415,0.21600812041988515
2001,1521575819,14,lname,full,4.653427144010588,0.37574404761904656
2001,1521575842,357,dob,partial,4.741417180831036,0.08799003682044759
2001,1521575848,87,fname,partial,4.861631933398729,0.12021475256769332
2001,1521575849,87,fname,full,5.183760784939345,0.322128851540616
2001,1521575876,142,lname,full,6.019530765446167,0.8357699805068224
2001,1521575886,217,dob,partial,6.070971094664274,0.051440329218106484
2001,1521575887,217,dob,full,6.760271506186907,0.6893004115226331
2001,1521575921,54,dob,partial,6.770812180790083,0.01054067460317576
2001,1521575921,54,dob,full,7.454715950631352,0.6839037698412689
2001,1521575927,135,reg,full,8.297240460435274,0.8425245098039227
2001,1521575928,135,fname,partial,8.463192257820895,0.16595179738562038
2001,1521575930,135,fname,full,8.800202061742466,0.3370098039215712
2001,1521575955,114,lname,partial,8.897101286548667,0.09689922480620083
2001,1521575956,114,lname,full,9.70136485244014,0.804263565891473
2001,1521575962,114,dob,partial,9.76838681626443,0.06702196382429015
2001,1521575964,114,dob,full,10.237540563034456,0.46915374677002575
2001,1521576003,155,lname,partial,10.383739393443811,0.14619883040935555
2001,1521576004,155,lname,full,10.603037639057847,0.219298245614036
2001,1521576018,207,lname,partial,10.622327762514637,0.019290123456789487
2001,1521576027,159,lname,partial,10.702455967642841,0.0801282051282044
2001,1521576047,31,fname,partial,10.863591128778003,0.1611351611351619
2001,1521576048,31,fname,full,11.272441537628412,0.4088504088504088
2001,1521576084,259,fname,partial,11.479949554983628,0.20750801735521662
2001,1521576085,259,fname,full,11.8336564027482,0.3537068477645722
2001,1521576118,264,fname,partial,12.091442598034396,0.2577861952861955
2001,1521576120,264,fname,full,12.430773406115204,0.33933080808080796
2002,1521575374,127,fname,partial,0.29239766081871343,0.29239766081871343
2002,1521575409,29,fname,partial,0.4945305973266495,0.20213293650793607
2002,1521575415,29,fname,full,0.8268718671679199,0.33234126984127044
