uid,type,value,timestamp,extra
3008,kapr,1.6473487522690253,1521575568,id:300-1-3|new_mode:partial|url:/record_linkage
3008,answer,p300a2,1521575572,url:/record_linkage
3008,kapr,2.8676935210008905,1521575583,id:315-1-1|new_mode:full|url:/record_linkage
3008,answer,p315a1,1521575587,url:/record_linkage
3008,open_cell,72-1-1,1521575602,url:/record_linkage
3008,kapr,2.888118357602198,1521575602,id:72-1-1|new_mode:partial|url:/record_linkage
3008,answer,p72a2,1521575607,url:/record_linkage
3008,open_cell,18-1-2,1521575615,url:/record_linkage
3008,kapr,3.4225925639514045,1521575615,id:18-1-2|new_mode:full|url:/record_linkage
3008,answer,p18a5,1521575621,url:/record_linkage
3008,next_page,/record_linkage,1521575622,url:/record_linkage
3008,final_answer,p123a1,1521575622,url:/record_linkage
3008,final_answer,p281a6,1521575622,url:/record_linkage
3008,final_answer,p300a2,1521575622,url:/record_linkage
3008,final_answer,p315a1,1521575622,url:/record_linkage
3008,final_answer,p72a2,1521575622,url:/record_linkage
3008,final_answer,p18a5,1521575622,url:/record_linkage
3008,open_cell,222-1-3,1521575639,url:/record_linkage
3008,kapr,3.499753057778565,1521575640,id:222-1-3|new_mode:partial|url:/record_linkage
3008,open_cell,222-1-4,1521575656,url:/record_linkage
3008,kapr,3.538333304692144,1521575656,id:222-1-4|new_mode:full|url:/record_linkage
3008,answer,p222a5,1521575672,url:/record_linkage
3008,open_cell,141-1-2,1521575678,url:/record_linkage
3008,kapr,4.257328815354321,1521575678,id:141-1-2|new_mode:full|url:/record_linkage
3008,open_cell,141-1-4,1521575691,url:/record_linkage
3008,kapr,4.3379966043554425,1521575691,id:141-1-4|new_mode:full|url:/record_linkage
3008,answer,p141a3,1521575694,url:/record_linkage
3008,open_cell,244-1-2,1521575708,url:/record_linkage
3008,kapr,4.958330376863128,1521575708,id:244-1-2|new_mode:full|url:/record_linkage
3008,answer,p244a1,1521575711,url:/record_linkage
3008,answer,p335a4,1521575718,url:/record_linkage
3008,answer,p335a5,1521575728,url:/record_linkage
3008,open_cell,89-1-1,1521575733,url:/record_linkage
3008,kapr,5.112651364517449,1521575733,id:89-1-1|new_mode:partial|url:/record_linkage
3008,open_cell,89-1-1,1521575738,url:/record_linkage
3008,kapr,5.686532537356955,1521575738,id:89-1-1|new_mode:full|url:/record_linkage
3008,answer,p89a5,1521575744,url:/record_linkage
3008,open_cell,352-1-1,1521575756,url:/record_linkage
3008,kapr,6.199098674923093,1521575756,id:352-1-1|new_mode:full|url:/record_linkage
3008,answer,p352a4,1521575760,url:/record_linkage
3008,next_page,/record_linkage,1521575762,url:/record_linkage
3008,final_answer,p222a5,1521575762,url:/record_linkage
3008,final_answer,p141a3,1521575762,url:/record_linkage
3008,final_answer,p244a1,1521575762,url:/record_linkage
3008,final_answer,p335a5,1521575762,url:/record_linkage
3008,final_answer,p89a5,1521575762,url:/record_linkage
3008,final_answer,p352a4,1521575762,url:/record_linkage
3008,kapr,7.433666576157661,1521575784,id:183-1-1|new_mode:full|url:/record_linkage
3008,answer,p183a2,1521575788,url:/record_linkage
3008,answer,p45a5,1521575797,url:/record_linkage
3008,open_cell,134-1-1,1521575819,url:/record_linkage
3008,kapr,7.59961837354328,1521575819,id:134-1-1|new_mode:partial|url:/record_linkage
3008,answer,p134a2,1521575825,url:/record_linkage
3008,open_cell,134-1-1,1521575830,url:/record_linkage
3008,kapr,8.105133079425633,1521575830,id:134-1-1|new_mode:full|url:/record_linkage
3008,answer,p134a4,1521575835,url:/record_linkage
3008,answer,p176a1,1521575846,url:/record_linkage
3008,open_cell,103-1-2,1521575854,url:/record_linkage
3008,kapr,8.247583221875777,1521575855,id:103-1-2|new_mode:partial|url:/record_linkage
3008,open_cell,103-1-3,1521575860,url:/record_linkage
3008,kapr,8.398173372465926,1521575860,id:103-1-3|new_mode:partial|url:/record_linkage
3008,answer,p103a5,1521575870,url:/record_linkage
3008,open_cell,94-1-4,1521575875,url:/record_linkage
3008,kapr,8.398426530613822,1521575875,id:94-1-4|new_mode:full|url:/record_linkage
3008,answer,p94a5,1521575878,url:/record_linkage
3008,next_page,/record_linkage,1521575880,url:/record_linkage
3008,final_answer,p183a2,1521575880,url:/record_linkage
3008,final_answer,p45a5,1521575880,url:/record_linkage
3008,final_answer,p134a4,1521575880,url:/record_linkage
3008,final_answer,p176a1,1521575880,url:/record_linkage
3008,final_answer,p103a5,1521575880,url:/record_linkage
3008,final_answer,p94a5,1521575880,url:/record_linkage
3008,answer,p38a6,1521575896,url:/record_linkage
3008,open_cell,151-1-2,1521575905,url:/record_linkage
3008,kapr,8.606759863947156,1521575905,id:151-1-2|new_mode:partial|url:/record_linkage
3008,open_cell,151-1-2,1521575910,url:/record_linkage
3008,kapr,9.162315419502711,1521575910,id:151-1-2|new_mode:full|url:/record_linkage
3008,open_cell,151-1-4,1521575925,url:/record_linkage
3008,kapr,9.231759863947154,1521575926,id:151-1-4|new_mode:full|url:/record_linkage
3008,answer,p151a4,1521575928,url:/record_linkage
3008,open_cell,215-1-2,1521575934,url:/record_linkage
3008,kapr,9.294891177078469,1521575934,id:215-1-2|new_mode:partial|url:/record_linkage
3008,open_cell,215-1-3,1521575936,url:/record_linkage
3008,kapr,10.065093197280488,1521575936,id:215-1-3|new_mode:full|url:/record_linkage
3008,answer,p215a2,1521575942,url:/record_linkage
3008,open_cell,160-1-1,1521575953,url:/record_linkage
3008,kapr,10.222877208500684,1521575953,id:160-1-1|new_mode:full|url:/record_linkage
3008,answer,p160a3,1521575961,url:/record_linkage
3008,answer,p311a2,1521575972,url:/record_linkage
3008,open_cell,311-1-1,1521575978,url:/record_linkage
3008,kapr,10.473035036783513,1521575978,id:311-1-1|new_mode:full|url:/record_linkage
3008,open_cell,31-1-1,1521575985,url:/record_linkage
3008,kapr,10.634170197918673,1521575985,id:31-1-1|new_mode:partial|url:/record_linkage
3008,answer,p31a4,1521575993,url:/record_linkage
3008,next_page,/record_linkage,1521575994,url:/record_linkage
3008,final_answer,p38a6,1521575994,url:/record_linkage
3008,final_answer,p151a4,1521575994,url:/record_linkage
3008,final_answer,p215a2,1521575994,url:/record_linkage
3008,final_answer,p160a3,1521575994,url:/record_linkage
3008,final_answer,p311a2,1521575994,url:/record_linkage
3008,final_answer,p31a4,1521575994,url:/record_linkage
3008,open_cell,229-1-3,1521576031,url:/record_linkage
3008,kapr,10.802520366268842,1521576031,id:229-1-3|new_mode:partial|url:/record_linkage
3008,answer,p229a5,1521576036,url:/record_linkage
3008,open_cell,255-1-1,1521576042,url:/record_linkage
3008,kapr,11.074851520952937,1521576042,id:255-1-1|new_mode:partial|url:/record_linkage
3008,open_cell,255-1-1,1521576043,url:/record_linkage
3008,kapr,11.782912523131586,1521576043,id:255-1-1|new_mode:full|url:/record_linkage
3008,open_cell,255-1-5,1521576057,url:/record_linkage
3008,kapr,11.90092269016136,1521576057,id:255-1-5|new_mode:full|url:/record_linkage
3008,answer,p255a3,1521576058,url:/record_linkage
3008,open_cell,84-1-2,1521576068,url:/record_linkage
3008,kapr,12.48760851391615,1521576069,id:84-1-2|new_mode:full|url:/record_linkage
3008,open_cell,84-1-4,1521576072,url:/record_linkage
3008,kapr,12.578904012000441,1521576072,id:84-1-4|new_mode:full|url:/record_linkage
3008,answer,p84a3,1521576080,url:/record_linkage
3008,open_cell,342-1-2,1521576082,url:/record_linkage
3008,kapr,12.598745281841712,1521576082,id:342-1-2|new_mode:partial|url:/record_linkage
3008,open_cell,342-1-3,1521576084,url:/record_linkage
3008,kapr,13.520462453558881,1521576084,id:342-1-3|new_mode:full|url:/record_linkage
3008,open_cell,342-1-4,1521576089,url:/record_linkage
3008,kapr,13.623276306372734,1521576089,id:342-1-4|new_mode:full|url:/record_linkage
3008,answer,p342a2,1521576092,url:/record_linkage
3008,answer,p3a5,1521576102,url:/record_linkage
3008,answer,p3a6,1521576103,url:/record_linkage
