uid,type,value,timestamp,extra
27,main_section_start,1521490738,1521490738,url:/section2
27,open_cell,271-1-0,1521490740,url:/section2
27,kapr,2.8735632183908044,1521490740,id:271-1-0|new_mode:full|url:/section2
27,open_cell,271-1-1,1521490741,url:/section2
27,kapr,6.625159642401021,1521490741,id:271-1-1|new_mode:full|url:/section2
27,open_cell,271-1-2,1521490741,url:/section2
27,kapr,9.163473818646233,1521490741,id:271-1-2|new_mode:full|url:/section2
27,open_cell,271-1-3,1521490743,url:/section2
27,kapr,15.16602809706258,1521490743,id:271-1-3|new_mode:full|url:/section2
27,open_cell,271-1-4,1521490744,url:/section2
27,kapr,15.91634738186462,1521490744,id:271-1-4|new_mode:full|url:/section2
27,open_cell,271-1-5,1521490745,url:/section2
27,kapr,16.666666666666664,1521490745,id:271-1-5|new_mode:full|url:/section2
27,answer,p271a1,1521490746997,
27,answer,p112a1,1521490747771,
27,answer,p365a1,1521490748570,
27,answer,p111a1,1521490749211,
27,answer,p111a1,1521490749498,
27,answer,p206a1,1521490750026,
27,answer,p36a1,1521490750722,
27,next_page,/section2,1521490751,url:/section2
27,final_answer,p271a1,1521490751,url:/section2
27,final_answer,p112a1,1521490751,url:/section2
27,final_answer,p365a1,1521490751,url:/section2
27,final_answer,p111a1,1521490751,url:/section2
27,final_answer,p206a1,1521490751,url:/section2
27,final_answer,p36a1,1521490751,url:/section2
41,session_start,1521514289,1521514289,source:server
41,jumping,/tutorial/rl/id_1,1521514550,url:/tutorial/rl/id_1
41,jumping,/tutorial/rl/id_3,1521514552,url:/tutorial/rl/id_3
41,jumping,/tutorial/rl/twin,1521514553,url:/tutorial/rl/twin
41,jumping,/tutorial/rl/dup,1521514554,url:/tutorial/rl/dup
41,jumping,/tutorial/rl/missing,1521514556,url:/tutorial/rl/missing
41,jumping,/tutorial/rl/freq,1521514557,url:/tutorial/rl/freq
41,jumping,/tutorial/privacy/practice,1521514561,url:/tutorial/privacy/practice
41,main_section_start,1521514563,1521514563,url:/record_linkage
41,answer,p131a1,1521514568534,
41,answer,p194a1,1521514569061,
41,answer,p29a1,1521514570140,
41,answer,p271a1,1521514570768,
41,answer,p364a1,1521514572139,
41,answer,p62a1,1521514572801,
41,next_page,/record_linkage,1521514574,url:/record_linkage
41,final_answer,p131a1,1521514574,url:/record_linkage
41,final_answer,p194a1,1521514574,url:/record_linkage
41,final_answer,p29a1,1521514574,url:/record_linkage
41,final_answer,p271a1,1521514574,url:/record_linkage
41,final_answer,p364a1,1521514574,url:/record_linkage
41,final_answer,p62a1,1521514574,url:/record_linkage
41,answer,p120a1,1521514576,url:/record_linkage
41,answer,p282a1,1521514577,url:/record_linkage
41,answer,p297a1,1521514578,url:/record_linkage
41,answer,p318a1,1521514579,url:/record_linkage
41,answer,p72a1,1521514579,url:/record_linkage
41,answer,p14a1,1521514580,url:/record_linkage
41,next_page,/record_linkage,1521514581,url:/record_linkage
